Nombre del Resort,Rate,Estrellas,Km de Freeride,Continente,Pais,Estado,Altitud,Facil,Intermedio,Dificil,Total de kilometros,Precio,Moneda,Tamaño del resort de esqui,Variedad de pistas,Fiabilidad de la nieve,Orientacion de mapas,Limpieza e higiene,Apres-ski,Snow parks,Esqui de fondo y senderos,pais,latitude,longitude,ISO Code
lorica,3.0,,,Europe,Italy,Calabria,1877.0,3.7,1.7,0.0,5,0.0,-,1.7,1.7,,,,,,,IT,41.87194,12.56738,ITA
lagazuoi5-torri-passo-giaupasso-falzarego,3.0,,,Europe,Italy,Venetia (Veneto),2742.0,10.5,10.0,0.0,20,54.0,European Euro,2.5,2.5,,,,,,,IT,41.87194,12.56738,ITA
foppolocarona-brembo-ski,3.0,,,Europe,Italy,Lombardy,2163.0,4.0,16.0,2.0,22,30.0,European Euro,2.7,2.9,,,,,,,IT,41.87194,12.56738,ITA
champorcher,3.0,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2500.0,2.0,9.0,3.0,14,29.0,European Euro,2.4,2.7,,,,,,,IT,41.87194,12.56738,ITA
antagnod,3.0,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2307.0,10.5,4.0,0.5,15,27.0,European Euro,2.3,2.5,,,,,,,IT,41.87194,12.56738,ITA
. Passo dello Stelvio (Stelvio Pass),2.9,2.0,1.0,Europe,Italy,Lombardy,3450.0,8.0,1.0,0.0,9,44.0,European Euro,2.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,IT,41.87194,12.56738,ITA
baranci-haunold-san-candido-innichen,2.9,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1610.0,4.2,3.8,0.3,8,51.0,European Euro,1.9,2.1,,,,,,,IT,41.87194,12.56738,ITA
prati-di-tivo,2.9,,,Europe,Italy,Abruzzo,2028.0,11.0,3.0,1.0,15,22.0,European Euro,2.3,2.5,,,,,,,IT,41.87194,12.56738,ITA
piancavallo,2.9,,,Europe,Italy,Friuli-Venezia Giulia,1865.0,3.5,12.0,1.5,17,35.0,European Euro,2.4,2.6,,,,,,,IT,41.87194,12.56738,ITA
passo-maniva,2.9,,,Europe,Italy,Lombardy,2064.0,21.1,5.4,3.5,30,30.0,European Euro,2.7,3.0,,,,,,,IT,41.87194,12.56738,ITA
gressoney-saint-jean-weissmatten,2.9,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2023.0,6.0,4.0,2.0,12,27.0,European Euro,2.2,2.5,,,,,,,IT,41.87194,12.56738,ITA
gran-sasso-campo-imperatore,2.9,,,Europe,Italy,Abruzzo,2235.0,3.6,4.5,5.0,13,22.0,European Euro,2.4,2.8,,,,,,,IT,41.87194,12.56738,ITA
forni-di-sopra,2.9,,,Europe,Italy,Friuli-Venezia Giulia,2073.0,4.5,6.0,1.5,12,35.0,European Euro,2.3,2.6,,,,,,,IT,41.87194,12.56738,ITA
crissolo-monviso,2.9,,,Europe,Italy,Piedmont (Piemonte),2400.0,5.0,8.0,7.0,20,21.0,European Euro,2.6,3.0,,,,,,,IT,41.87194,12.56738,ITA
crevacol,2.9,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2450.0,7.0,11.0,3.0,21,27.0,European Euro,2.5,2.8,,,,,,,IT,41.87194,12.56738,ITA
cima-piazzisan-colombano-isolacciaoga,2.9,,,Europe,Italy,Lombardy,2547.0,0.3,8.7,0.0,9,36.0,European Euro,2.2,2.2,,,,,,,IT,41.87194,12.56738,ITA
campitello-matese,2.9,,,Europe,Italy,Molise,1872.0,1.6,12.0,2.2,15,30.0,European Euro,2.2,2.5,,,,,,,IT,41.87194,12.56738,ITA
altopiano-di-brentonico-polsasan-valentino,2.9,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1583.0,6.8,10.8,4.4,22,34.0,European Euro,2.5,2.8,,,,,,,IT,41.87194,12.56738,ITA
alpe-del-nevegal,2.9,,,Europe,Italy,Venetia (Veneto),1675.0,7.0,12.0,4.0,23,0.0,-,2.6,2.9,,,,,,,IT,41.87194,12.56738,ITA
spiazzi-di-gromo,2.8,,,Europe,Italy,Lombardy,1800.0,1.0,12.0,2.0,15,30.0,European Euro,2.3,2.5,,,,,,,IT,41.87194,12.56738,ITA
sappada,2.8,,,Europe,Italy,Venetia (Veneto),2000.0,8.0,9.0,0.0,17,31.0,European Euro,2.4,2.4,,,,,,,IT,41.87194,12.56738,ITA
sampeyre,2.8,,,Europe,Italy,Piedmont (Piemonte),1860.0,9.4,6.8,1.0,17,19.0,European Euro,2.4,2.6,,,,,,,IT,41.87194,12.56738,ITA
pian-mune-paesana,2.8,,,Europe,Italy,Piedmont (Piemonte),2060.0,7.0,7.0,2.0,16,19.0,European Euro,2.4,2.7,,,,,,,IT,41.87194,12.56738,ITA
pescasseroli,2.8,,,Europe,Italy,Abruzzo,1820.0,3.0,3.6,1.9,8,28.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
panarotta-2002-valsugana,2.8,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2002.0,6.0,6.0,6.0,18,28.0,European Euro,2.3,2.7,,,,,,,IT,41.87194,12.56738,ITA
lizzola,2.8,,,Europe,Italy,Lombardy,2028.0,2.0,18.0,0.0,20,28.0,European Euro,2.5,2.5,,,,,,,IT,41.87194,12.56738,ITA
corno-alle-scale-lizzano-in-belvedere,2.8,,,Europe,Italy,Emilia-Romagna,1945.0,5.0,7.0,2.0,14,33.0,European Euro,2.3,2.6,,,,,,,IT,41.87194,12.56738,ITA
colere,2.8,,,Europe,Italy,Lombardy,2250.0,0.3,10.0,8.4,18,30.0,European Euro,2.5,2.7,,,,,,,IT,41.87194,12.56738,ITA
campo-stella-leonessa,2.8,,,Europe,Italy,Lazio,1696.0,11.0,1.0,2.0,14,20.0,European Euro,2.3,2.5,,,,,,,IT,41.87194,12.56738,ITA
bielmonte,2.8,,,Europe,Italy,Piedmont (Piemonte),1621.0,10.0,8.0,2.0,20,30.0,European Euro,2.4,2.7,,,,,,,IT,41.87194,12.56738,ITA
auronzo-di-cadore-monte-agudo,2.8,,,Europe,Italy,Venetia (Veneto),1534.0,3.0,3.0,1.0,7,32.5,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
argentera,2.8,,,Europe,Italy,Piedmont (Piemonte),2480.0,13.0,10.0,2.0,25,22.0,European Euro,2.6,2.8,,,,,,,IT,41.87194,12.56738,ITA
alpe-di-mera-scopello,2.8,,,Europe,Italy,Piedmont (Piemonte),1738.0,4.8,21.6,2.2,28,29.0,European Euro,2.8,3.0,,,,,,,IT,41.87194,12.56738,ITA
. Vigiljoch (Monte San Vigilio) – Lana,2.7,1.0,0.0,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1814.0,1.4,2.0,0.0,3,15.0,European Euro,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,IT,41.87194,12.56738,ITA
. Feldthurns (Velturno),1.0,1.0,0.0,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1165.0,1.0,0.5,0.0,1,15.0,European Euro,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,IT,41.87194,12.56738,ITA
ala-di-stura,2.0,,,Europe,Italy,Piedmont (Piemonte),1950.0,3.0,3.0,1.0,7,20.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
alpe-teglio-prato-valentino,2.1,,,Europe,Italy,Lombardy,2340.0,3.0,6.0,0.0,9,20.0,European Euro,2.1,2.1,,,,,,,IT,41.87194,12.56738,ITA
antermoia-san-martin-de-tor,1.2,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1696.0,0.7,0.0,0.0,0,0.0,-,1.2,1.0,,,,,,,IT,41.87194,12.56738,ITA
arabba,5.0,,4.0,Europe,Italy,Venetia (Veneto),2478.0,32.0,22.0,8.0,62,50.0,European Euro,5.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,IT,41.87194,12.56738,ITA
balme-di-lanzo,1.1,,,Europe,Italy,Piedmont (Piemonte),1512.0,0.3,0.0,0.0,0,9.0,European Euro,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
bolbeno,1.1,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),663.0,0.5,0.0,0.0,0,0.0,-,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
borno-monte-altissimo,2.4,,,Europe,Italy,Lombardy,1694.0,9.4,4.9,3.1,17,0.0,-,2.4,2.7,,,,,,,IT,41.87194,12.56738,ITA
bruncu-spina,1.5,,,Europe,Italy,Sardinia (Sardegna),1820.0,0.4,1.9,1.0,3,15.0,European Euro,1.5,1.8,,,,,,,IT,41.87194,12.56738,ITA
brusson-estoul,2.3,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2235.0,3.0,13.0,0.0,16,27.0,European Euro,2.3,2.3,,,,,,,IT,41.87194,12.56738,ITA
caldirola-monte-gropa,1.7,,,Europe,Italy,Piedmont (Piemonte),1429.0,4.0,1.9,0.0,5,0.0,-,1.7,1.7,,,,,,,IT,41.87194,12.56738,ITA
camigliatello-silano,1.5,,,Europe,Italy,Calabria,1785.0,2.4,1.9,0.0,4,20.0,European Euro,1.5,1.5,,,,,,,IT,41.87194,12.56738,ITA
campigna-montefalco,1.3,,,Europe,Italy,Emilia-Romagna,1680.0,0.1,1.1,1.1,2,18.0,European Euro,1.3,1.5,,,,,,,IT,41.87194,12.56738,ITA
campo-catino,2.1,,,Europe,Italy,Lazio,1997.0,3.0,5.0,4.0,12,26.0,European Euro,2.1,2.5,,,,,,,IT,41.87194,12.56738,ITA
campo-rotondo-cappadocia,1.3,,,Europe,Italy,Abruzzo,1600.0,0.5,2.0,0.0,2,15.0,European Euro,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
capracotta,1.3,,,Europe,Italy,Molise,1650.0,1.5,0.1,0.0,1,18.0,European Euro,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
careggine-alpi-apuane-monte-la-cima,1.6,,,Europe,Italy,Tuscany (Toscana),1500.0,2.0,2.0,0.0,4,20.0,European Euro,1.6,1.6,,,,,,,IT,41.87194,12.56738,ITA
chamois,2.0,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2498.0,1.0,7.0,0.0,8,25.0,European Euro,2.0,2.0,,,,,,,IT,41.87194,12.56738,ITA
chanavey,1.7,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2131.0,1.0,3.0,2.0,6,19.0,European Euro,1.7,2.0,,,,,,,IT,41.87194,12.56738,ITA
cogne-gran-paradiso,2.0,,,Europe,Italy,Aosta Valley (Valle d'Aosta),2297.0,2.0,5.0,1.0,8,25.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
cogolo,1.1,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1220.0,0.5,0.0,0.0,0,0.0,-,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
colle-de-lys,1.3,,,Europe,Italy,Piedmont (Piemonte),1410.0,0.2,0.8,0.0,1,10.0,European Euro,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
colle-di-joux,1.9,,,Europe,Italy,Aosta Valley (Valle d'Aosta),1957.0,4.0,2.5,1.5,8,23.0,European Euro,1.9,2.2,,,,,,,IT,41.87194,12.56738,ITA
conca-dellalben,1.3,,,Europe,Italy,Lombardy,1420.0,0.0,1.0,0.0,1,15.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
doganaccia-2000-cutigliano,2.2,,,Europe,Italy,Tuscany (Toscana),1795.0,8.0,5.0,2.0,15,26.0,European Euro,2.2,2.5,,,,,,,IT,41.87194,12.56738,ITA
eremo-di-monte-carpegna,2.0,,,Europe,Italy,Marche,1397.0,3.4,6.7,0.0,10,22.0,European Euro,2.0,2.0,,,,,,,IT,41.87194,12.56738,ITA
etna-nord-linguaglossa,2.1,,,Europe,Italy,Sicily,2336.0,1.5,8.8,0.0,10,30.0,European Euro,2.1,2.1,,,,,,,IT,41.87194,12.56738,ITA
etna-southnicolosi,1.8,,,Europe,Italy,Sicily,2604.0,0.7,5.6,0.0,6,30.0,European Euro,1.8,1.8,,,,,,,IT,41.87194,12.56738,ITA
febbio-2000-monte-cusna,2.0,,,Europe,Italy,Emilia-Romagna,2063.0,3.2,1.7,2.9,7,20.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
funes-villnoess,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1498.0,1.1,0.0,0.0,1,18.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
furkel-trafoi-stilfs,2.0,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2400.0,4.3,3.0,1.0,8,41.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
gasse-ridnaun,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1484.0,1.1,0.0,0.0,1,15.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
haider-alm-st-valentin-auf-der-haide-san-valentino-alla-muta,2.0,,3.0,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2600.0,2.0,13.0,5.0,20,41.0,European Euro,2.0,3.0,4.0,3.0,4.0,2.0,1.0,4.0,IT,41.87194,12.56738,ITA
jara-park-fontaniva,1.0,,,Europe,Italy,Venetia (Veneto),49.0,0.1,0.0,0.0,0,0.0,-,1.0,1.0,,,,,,,IT,41.87194,12.56738,ITA
jochgrimm-passo-oclini,1.9,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2250.0,4.0,2.0,1.0,7,18.0,European Euro,1.9,2.2,,,,,,,IT,41.87194,12.56738,ITA
lagdeilago-santo-corniglio,1.3,,,Europe,Italy,Emilia-Romagna,1525.0,0.0,1.0,0.0,1,0.0,-,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
lagoraipasso-brocon-castello-tesino,2.1,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2060.0,4.8,5.9,0.3,11,25.0,European Euro,2.1,2.3,,,,,,,IT,41.87194,12.56738,ITA
luesen-luson,1.2,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1189.0,0.8,0.0,0.0,0,0.0,-,1.2,1.0,,,,,,,IT,41.87194,12.56738,ITA
malga-san-giorgio,1.7,,,Europe,Italy,Venetia (Veneto),1810.0,0.6,3.8,0.6,4,23.0,European Euro,1.7,2.0,,,,,,,IT,41.87194,12.56738,ITA
malga-varena-passo-lavaze,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1840.0,1.5,0.0,0.0,1,0.0,-,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
marinzen-castelrotto-kastelruth,1.5,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1469.0,1.0,0.0,2.0,3,0.0,-,1.5,1.5,,,,,,,IT,41.87194,12.56738,ITA
maseben-langtaufers-vallelunga,1.7,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2266.0,2.9,2.9,0.0,5,21.0,European Euro,1.7,1.7,,,,,,,IT,41.87194,12.56738,ITA
mendelpass-monte-roen,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1592.0,2.0,0.0,0.0,2,0.0,-,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
misurina-passo-tre-croci,1.7,,,Europe,Italy,Venetia (Veneto),2120.0,3.0,2.0,0.0,5,35.0,European Euro,1.7,1.7,,,,,,,IT,41.87194,12.56738,ITA
monesi-di-triora,2.1,,,Europe,Italy,Liguria,2164.0,4.8,4.0,0.2,9,16.0,European Euro,2.1,2.3,,,,,,,IT,41.87194,12.56738,ITA
monte-amiata,2.0,,,Europe,Italy,Tuscany (Toscana),1738.0,1.2,6.1,2.7,10,25.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
monte-baldo-malcesinepra-alpesina,2.0,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1837.0,2.0,6.0,2.0,10,22.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
monte-fumaiolo-le-balze,1.3,,,Europe,Italy,Emilia-Romagna,1368.0,0.4,0.6,0.0,1,0.0,-,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
monte-livata-subiaco-monna-dellorso,1.9,,,Europe,Italy,Lazio,1800.0,4.0,3.0,1.0,8,0.0,-,1.9,2.2,,,,,,,IT,41.87194,12.56738,ITA
monte-piselli-san-giacomo,1.8,,,Europe,Italy,Abruzzo,1700.0,0.5,4.3,1.0,5,22.0,European Euro,1.8,2.0,,,,,,,IT,41.87194,12.56738,ITA
monte-spada,1.1,,,Europe,Italy,Sardinia (Sardegna),1440.0,0.4,0.0,0.0,0,10.0,European Euro,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
monte-terminillo,2.0,,,Europe,Italy,Lazio,1868.0,2.0,6.0,1.4,9,28.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
mottarone,2.4,,,Europe,Italy,Piedmont (Piemonte),1491.0,9.0,10.0,2.0,21,24.0,European Euro,2.4,2.6,,,,,,,IT,41.87194,12.56738,ITA
nova-ponente-deutschnofen,1.2,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1538.0,0.8,0.0,0.0,0,0.0,-,1.2,1.0,,,,,,,IT,41.87194,12.56738,ITA
ollomont,1.3,,,Europe,Italy,Aosta Valley (Valle d'Aosta),1474.0,1.0,0.0,0.0,1,16.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
oropa-biella,1.9,,,Europe,Italy,Piedmont (Piemonte),2388.0,0.0,6.0,0.0,6,0.0,-,1.9,1.4,,,,,,,IT,41.87194,12.56738,ITA
palot-pisogne,1.5,,,Europe,Italy,Lombardy,1350.0,3.0,0.0,0.0,3,25.0,European Euro,1.5,1.0,,,,,,,IT,41.87194,12.56738,ITA
passo-cereda,1.1,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1400.0,0.5,0.0,0.0,0,35.0,European Euro,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
passo-fedaia-pian-dei-fiacconi-marmolada,1.8,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2650.0,0.0,5.5,0.0,5,50.0,European Euro,1.8,1.3,,,,,,,IT,41.87194,12.56738,ITA
passo-forcora-monte-cadrigna,1.3,,,Europe,Italy,Lombardy,1302.0,1.0,0.0,0.0,1,15.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
passo-godi-scanno,1.5,,,Europe,Italy,Abruzzo,1780.0,2.2,1.2,0.6,4,16.0,European Euro,1.5,1.8,,,,,,,IT,41.87194,12.56738,ITA
passo-lanciano,2.0,,,Europe,Italy,Abruzzo,1650.0,6.0,4.8,0.0,10,23.0,European Euro,2.0,2.0,,,,,,,IT,41.87194,12.56738,ITA
passo-penice,1.3,,,Europe,Italy,Emilia-Romagna,1141.0,1.6,0.5,0.0,2,15.0,European Euro,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
passo-rolle-rolle-pass,2.2,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2216.0,5.0,7.0,3.0,15,31.0,European Euro,2.2,2.5,,,,,,,IT,41.87194,12.56738,ITA
payel-di-valsavarenche-degioz,1.3,,,Europe,Italy,Aosta Valley (Valle d'Aosta),1681.0,1.7,0.0,0.0,1,14.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
pescegallo-valgerola,2.1,,,Europe,Italy,Lombardy,2000.0,4.6,2.0,3.0,9,19.0,European Euro,2.1,2.4,,,,,,,IT,41.87194,12.56738,ITA
petersberg-monte-s-pietro-nova-ponente-deutschnofen,1.2,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1470.0,0.6,0.0,0.0,0,0.0,-,1.2,1.0,,,,,,,IT,41.87194,12.56738,ITA
pian-del-falco-sestola,1.3,,,Europe,Italy,Emilia-Romagna,1360.0,0.3,1.0,0.0,1,36.0,European Euro,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
pian-delle-betulle-margno,1.9,,,Europe,Italy,Lombardy,1801.0,1.0,5.0,1.0,7,25.0,European Euro,1.9,2.2,,,,,,,IT,41.87194,12.56738,ITA
pian-neiretto,1.5,,,Europe,Italy,Piedmont (Piemonte),1600.0,0.8,2.0,1.2,4,18.0,European Euro,1.5,1.8,,,,,,,IT,41.87194,12.56738,ITA
piane-di-mocogno,1.7,,,Europe,Italy,Emilia-Romagna,1617.0,2.0,1.0,2.0,5,23.0,European Euro,1.7,2.0,,,,,,,IT,41.87194,12.56738,ITA
piani-di-artavaggio-moggio,1.1,,,Europe,Italy,Lombardy,1644.0,0.5,0.0,0.0,0,16.0,European Euro,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
piano-battaglia,1.5,,,Europe,Italy,Sicily,1845.0,0.8,3.0,0.7,4,28.0,European Euro,1.5,1.8,,,,,,,IT,41.87194,12.56738,ITA
piazzatorre,2.8,,,Europe,Italy,Lombardy,1780.0,12.0,15.0,3.0,30,26.0,European Euro,2.8,3.1,,,,,,,IT,41.87194,12.56738,ITA
pichl-gsies,1.1,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1347.0,0.4,0.0,0.0,0,12.0,European Euro,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
pievepelago-santannapelago,2.0,,,Europe,Italy,Emilia-Romagna,1700.0,4.0,2.0,2.0,8,25.0,European Euro,2.0,2.4,,,,,,,IT,41.87194,12.56738,ITA
pintura-bolognola,1.9,,,Europe,Italy,Marche,1695.0,4.6,2.0,2.2,8,19.0,European Euro,1.9,2.2,,,,,,,IT,41.87194,12.56738,ITA
piobbico,1.7,,,Europe,Italy,Marche,1470.0,1.7,3.4,0.0,5,20.0,European Euro,1.7,1.7,,,,,,,IT,41.87194,12.56738,ITA
pradibosco-prato-carnico,1.2,,,Europe,Italy,Friuli-Venezia Giulia,1220.0,0.8,0.0,0.0,0,0.0,-,1.2,1.0,,,,,,,IT,41.87194,12.56738,ITA
pradis-ci-bedollo,1.0,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1050.0,0.2,0.0,0.0,0,0.0,-,1.0,1.0,,,,,,,IT,41.87194,12.56738,ITA
prags-braies,1.5,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1403.0,0.6,2.9,0.0,3,31.0,European Euro,1.5,1.5,,,,,,,IT,41.87194,12.56738,ITA
prato-selva,2.2,,,Europe,Italy,Abruzzo,1775.0,7.0,8.0,0.0,15,20.0,European Euro,2.2,2.2,,,,,,,IT,41.87194,12.56738,ITA
predaia-coredo,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1400.0,1.0,0.8,0.2,2,22.0,European Euro,1.3,1.6,,,,,,,IT,41.87194,12.56738,ITA
presolana,1.9,,,Europe,Italy,Lombardy,1630.0,4.0,3.0,0.0,7,32.0,European Euro,1.9,1.9,,,,,,,IT,41.87194,12.56738,ITA
recoaro-mille,2.0,,,Europe,Italy,Venetia (Veneto),1630.0,3.0,3.0,2.0,8,27.0,European Euro,2.0,2.4,,,,,,,IT,41.87194,12.56738,ITA
rein-in-taufers-riva-di-tures,1.5,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1835.0,2.0,2.0,0.0,4,17.0,European Euro,1.5,1.5,,,,,,,IT,41.87194,12.56738,ITA
rhemes-notre-dame,1.1,,,Europe,Italy,Aosta Valley (Valle d'Aosta),1760.0,0.5,0.0,0.0,0,19.0,European Euro,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
rienz-toblach-dobbiaco,1.5,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1410.0,1.5,2.5,0.0,4,37.0,European Euro,1.5,1.5,,,,,,,IT,41.87194,12.56738,ITA
riepenlift-antholz-mittertal-anterselva-di-mezzo,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1489.0,2.0,0.0,0.0,2,24.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
rucas-di-bagnolo,1.5,,,Europe,Italy,Piedmont (Piemonte),1520.0,0.9,2.7,0.0,3,16.5,European Euro,1.5,1.5,,,,,,,IT,41.87194,12.56738,ITA
ruffre-monte-nock,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1342.0,0.0,0.5,0.5,1,22.0,European Euro,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
san-simone-brembo-ski,2.0,,,Europe,Italy,Lombardy,2100.0,2.0,5.0,3.5,10,28.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
sarena,1.0,,,Europe,Italy,Sardinia (Sardegna),1385.0,0.1,0.0,0.0,0,10.0,European Euro,1.0,1.0,,,,,,,IT,41.87194,12.56738,ITA
sassotetto-santa-maria-maddalena,2.1,,,Europe,Italy,Marche,1592.0,2.5,8.0,1.0,11,23.5,European Euro,2.1,2.3,,,,,,,IT,41.87194,12.56738,ITA
sauris,1.3,,,Europe,Italy,Friuli-Venezia Giulia,1404.0,1.7,1.0,0.0,2,0.0,-,1.3,1.3,,,,,,,IT,41.87194,12.56738,ITA
scanno-monte-rotondo,2.0,,,Europe,Italy,Abruzzo,1860.0,2.2,5.8,0.0,8,28.0,European Euro,2.0,2.0,,,,,,,IT,41.87194,12.56738,ITA
schia-monte-caio,2.2,,,Europe,Italy,Emilia-Romagna,1485.0,1.9,9.1,2.4,13,28.0,European Euro,2.2,2.5,,,,,,,IT,41.87194,12.56738,ITA
schilpario,1.5,,,Europe,Italy,Lombardy,1600.0,1.0,2.5,0.0,3,20.0,European Euro,1.5,1.5,,,,,,,IT,41.87194,12.56738,ITA
selvarotonda-cittareale,2.1,,,Europe,Italy,Lazio,1788.0,4.0,7.0,0.0,11,18.0,European Euro,2.1,2.1,,,,,,,IT,41.87194,12.56738,ITA
separadorgiu,1.1,,,Europe,Italy,Sardinia (Sardegna),1550.0,0.4,0.0,0.0,0,10.0,European Euro,1.1,1.0,,,,,,,IT,41.87194,12.56738,ITA
st-gree-di-viola,2.0,,,Europe,Italy,Piedmont (Piemonte),1593.0,4.7,1.8,1.6,8,15.0,European Euro,2.0,2.3,,,,,,,IT,41.87194,12.56738,ITA
st-magdalena-gsiesvalle-di-casies,1.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1679.0,1.5,0.0,0.0,1,21.0,European Euro,1.3,1.0,,,,,,,IT,41.87194,12.56738,ITA
st-oyen-flassin,1.0,,,Europe,Italy,Aosta Valley (Valle d'Aosta),1480.0,0.2,0.0,0.0,0,10.0,European Euro,1.0,1.0,,,,,,,IT,41.87194,12.56738,ITA
taisten-tesido,1.2,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1395.0,0.8,0.0,0.0,0,17.0,European Euro,1.2,1.0,,,,,,,IT,41.87194,12.56738,ITA
tarscher-alm-malga-di-tarres-latsch-laces,2.3,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),2250.0,1.0,10.0,0.0,11,0.0,-,2.3,2.3,,,,,,,IT,41.87194,12.56738,ITA
terenten-terento,1.2,,,Europe,Italy,Trentino-Alto Adige (Trentino-Sudtirol),1404.0,0.8,0.0,0.0,0,16.0,European Euro,1.2,1.0,,,,,,,IT,41.87194,12.56738,ITA
ussita,2.1,,,Europe,Italy,Marche,2000.0,4.0,2.0,3.0,9,23.0,European Euro,2.1,2.4,,,,,,,IT,41.87194,12.56738,ITA
