Nombre del Resort,Rate,Estrellas,Km de Freeride,Continente,Pais,Estado,Altitud,Facil,Intermedio,Dificil,Total de kilometros,Precio,Moneda,Tamaño del resort de esqui,Variedad de pistas,Fiabilidad de la nieve,Orientacion de mapas,Limpieza e higiene,Apres-ski,Snow parks,Esqui de fondo y senderos,pais,latitude,longitude,ISO Code
 Ski Juwel Alpbachtal Wildschönau,4.2,4.0,6.3,Europe,Austria,Tyrol (Tirol),2025.0,25.9,53.7,13.5,93,45.5,European Euro,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,AT,47.516231,14.550072,AUT
Damüls Mellau,4.2,5.0,7.7,Europe,Austria,Vorarlberg,2050.0,29.7,48.0,1.7,79,50.0,European Euro,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,AT,47.516231,14.550072,AUT
. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,4.2,3.0,2.0,Europe,Austria,Tyrol (Tirol),1860.0,18.0,22.0,2.0,42,45.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,AT,47.516231,14.550072,AUT
Großglockner Resort Kals-Matrei,4.2,5.0,0.0,Europe,Austria,Tyrol (Tirol),2422.0,8.5,22.5,6.0,37,46.5,European Euro,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,AT,47.516231,14.550072,AUT
 Nauders am Reschenpass – Bergkastel,4.2,4.0,11.0,Europe,Austria,Tyrol (Tirol),2740.0,24.0,34.0,13.0,71,41.0,European Euro,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,AT,47.516231,14.550072,AUT
 Nassfeld – Hermagor,4.2,4.0,0.0,Europe,Austria,Carinthia (Karnten),2002.0,30.0,69.0,11.0,110,47.0,European Euro,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,AT,47.516231,14.550072,AUT
 Kühtai,4.1,4.0,0.0,Europe,Austria,Tyrol (Tirol),2520.0,6.0,26.2,8.8,41,39.0,European Euro,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,AT,47.516231,14.550072,AUT
 Stubai Glacier (Stubaier Gletscher),4.1,4.0,0.0,Europe,Austria,Tyrol (Tirol),3212.0,19.0,15.0,4.0,38,47.0,European Euro,3.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,AT,47.516231,14.550072,AUT
 Großarltal/Dorfgastein,4.1,4.0,9.7,Europe,Austria,Salzburg (Salzburger Land),2033.0,25.5,43.1,1.5,70,51.5,European Euro,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,AT,47.516231,14.550072,AUT
 Zauchensee/Flachauwinkl,4.1,4.0,3.5,Europe,Austria,Salzburg (Salzburger Land),2176.0,23.5,16.2,4.3,44,51.5,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,AT,47.516231,14.550072,AUT
